id,company_name,domain_name,email,store_status,total_rating,monitoring_date
1,베이지베이지,www.beigebeige.co.kr,weloveith@naver.com,사이트운영중단,2,2024-01-24
2,(주)오해린,www.ohelin.co.kr,ohelin@naver.com,휴업중,1,2024-01-24
3,케이투코리아(주),k2group.co.kr,swhong77@k2korea.co.kr,광고용(홍보용),3,2024-01-24
4,아이링골드,http://iringold.com,iringg@naver.com,사이트운영중단,3,2024-01-24
5,스테디 에브리웨어,www.steadyeverywear.com,steadyeverywear@naver.com,사이트운영중단,1,2024-01-24
6,주식회사 제이웍스이엑스티,www.eye-candy.co.kr,jay@jworksext.co.kr,사이트운영중단,3,2024-01-24
7,주식회사 현투어,www.hyuntour.com,kh07777@naver.com,사이트운영중단,1,2024-01-24
8,레이지룸,http://lazyroom.kr,besnag@naver.com,사이트운영중단,1,2024-01-24
9,(주)더맑음컴퍼니(해브지점),https://mlhtex.cafe24.com/,move2134@gmail.com,사이트운영중단,1,2024-01-24
10,주식회사 더바다쓰/The Badass,www.badass.co.kr,desicnerbiko@naver.com,사이트운영중단,1,2024-01-24
11,모어에프엔,www.morette.co.kr,morette_official@naver.com,사이트운영중단,1,2024-01-24
12,주식회사 부모스튜디오,serokids.com,bumo_7@hanmail.net,사이트운영중단,1,2024-01-24
13,그린웨일컴퍼니,http://boncha9.godomall.com/,greenwhalecompany@gmail.com,등록정보불일치,2,2024-01-24
14,더레브,www.thereve.co.kr,kmj@thereve.co.kr,휴업중,1,2024-01-24
15,우리랑여행사,www.urirang.net,ysk@urirang.net,사이트운영중단,0,2024-01-24
16,"주식회사 르까레/LE CARRE CO, .LTD.",http://lecarre.shop/,lecarre_@naver.com,사이트운영중단,1,2024-01-24
17,오로라 킹덤,www.aurorakingdom.com,taylork2348@naver.com,사이트운영중단,1,2024-01-24
18,쎄루토/CERTO,www.cer-to.com,certo_@naver.com,사이트운영중단,1,2024-01-24
19,온오프(ON/OFF),www.onoffshop.co.kr,gobegobeno@hanmail.net,사이트운영중단,1,2024-01-24
20,주식회사 브릴리언,http://brillianshop.com/,support@brillianshop.com,사이트운영중단,0,2024-01-24
21,셀커스텀/SEL CUSTOM,selcustom.com,selcustom1@naver.com,사이트운영중단,1,2024-01-24
22,메리골드,www.marigold5598.com,gi2go@naver.com,사이트운영중단,1,2024-01-24
23,세로진/serojean,serojean.com,revival12379@gmail.com,사이트운영중단,1,2024-01-24
24,온리휴먼,www.hypnotic.imweb.me,helper909@naver.com,등록정보불일치,2,2024-01-24
25,러버겐 뮤지엄(LUVAGAIN MUSEUM),a-bly.com/app/markets/36973,luv-again@naver.com,등록정보불일치,3,2024-01-24
26,가온여행주식회사,http://vinasun.autopus.co.kr,jaeky@enjoyvinpearl.com,휴업중,0,2024-01-24
27,(주)더맑음컴퍼니(무브본점),https://mlhtex.cafe24.com/,move2134@gmail.com,사이트운영중단,1,2024-01-24
28,위드영어학원,https://blog.naver.com/withen3231,withen.co.kr@gmail.com,휴업중,0,2024-01-24
29,에스와이(S.Y.)글로벌,http://vividpurple.co.kr/,vividpurple87@naver.com,사이트운영중단,1,2024-01-24
30,스타즈호텔 명동2호점,http://stazhotelmyeongdong2.com,support1@modestay.net,사이트운영중단,0,2024-01-24
31,베베알로하,www.bebealoha.com,tobegin@naver.com,사이트운영중단,2,2024-01-23
32,브랜드스토리하우스,http://brandstoryhouse.com/,ddangque@gmail.com,등록정보불일치,3,2024-01-23
33,누리스페이스,http://shop.11st.co.kr/store/nurispace,nurispacecorp@naver.com,등록정보불일치,3,2024-01-23
34,루킨,lookinkorea.com,ysoh@lookinkorea.com,등록정보불일치,3,2024-01-23
35,잇츄케이스(ItchuCase),https://blog.naver.com/itchucase,itchucase@naver.com,확인안됨,0,2024-01-23
36,페따미꼬,www.idus.com/w/artist/012953bd-cfd3-4dcf-af1e-e8703a86a28b,lapinkr@hanmail.net,등록정보불일치,3,2024-01-23
37,실로직물,silosilkshop.shockping.com,silosilkofficial@gmail.com,등록정보불일치,2,2024-01-23
38,펄세이 플라워,https://booking.naver.com/booking/6/bizes/184286,perseflower@naver.com,등록정보불일치,2,2024-01-23
39,빌리스앤코,www.billys.co.kr,billys.works@gmail.com,등록정보불일치,2,2024-01-23
40,주식회사 대림아이앤티,http://www.sendlabs.co.kr,info@sendlabs.co.kr,등록정보불일치,1,2024-01-23
41,송아지,https://smartstore.naver.com/songajijewelry,mwmini@naver.com,등록정보불일치,2,2024-01-23
42,망농아뜰리에,http://www.idus.com/,yeony9329@gmail.com,사이트운영중단,1,2024-01-23
43,제이앤제이 패키지,http://j-package.co.kr,jnjpackage@hanmail.net,등록정보불일치,3,2024-01-23
44,주식회사 씨티온,leesageum.com,bongchun@hanmail.com,사이트운영중단,3,2024-01-23
45,더블유제이엔 TWJN,www.twinklejenny.com,jenny@twinklejenny.com,등록정보불일치,1,2024-01-23
46,주식회사 에스제이키즈,http://kangolkids.co.kr,kimch@sj-group.co.kr,등록정보불일치,3,2024-01-23
47,헬씨포뮬라(Healthy Formula),herbaljjang.goherbalife.com/Catalog/Home/Index/ko-KR,euigwang@gmail.com,등록정보불일치,2,2024-01-23
48,(주)엠에프인코리아,http://bodyfree.cafe24.com,soulkym@mfinkorea.com,등록정보불일치,3,2024-01-23
49,스페이스 오디티(SPACE ODDITY),http://www.spaceoddity.kr,33spaceoddity@naver.com,등록정보불일치,1,2024-01-23
50,조타 트레이딩/Jota trading.ltd,http://www.feelway.com/jota1,junchulw@naver.com,사이트운영중단,0,2024-01-23
51,질와이(JI III.Y),https://jil-y.com,fwd.jillly@gmail.com,등록정보불일치,2,2024-01-23
52,주식회사 봉투가게,https://bongtugage.com,jiwoori1@naver.com,등록정보불일치,3,2024-01-23
53,이화씨엔아이 주식회사,smartstore.naver.com/rifatron,dummy@commerce.naver.com,등록정보불일치,2,2024-01-23
54,(주)스킨클루,http://cellabel.co.kr,7806young@skinclue.com,등록정보불일치,3,2024-01-23
55,주식회사 유원코스메틱,www.neogani.com,yuwoncos@naver.com,사이트운영중단,2,2024-01-23
56,에스에스미디어,https://minishop.gmarket.co.kr/ssmedia,alpha7171@naver.com,등록정보불일치,3,2024-01-23
57,드씨엘,https://www.brandi.co.kr/shop/monblebon?id=2501,monblebon_official@naver.com,등록정보불일치,2,2024-01-23
58,라비오캄,www.brandi.co.kr/shop/31959?id=31959,LAVIEAUCALME_CO@NAVER.COM,등록정보불일치,3,2024-01-23
59,비비네,www.bibinepet.com,bibine01@naver.com,사이트운영중단,2,2024-01-23
60,맥시아뜰리에,www.maxidress.co.kr,maxidress@naver.com,사이트운영중단,0,2024-01-23
61,유니,https://store.kakao.com/ununkr,uni.officialcs@gmail.com,등록정보불일치,3,2024-01-23
62,시소랩,www.musinsa.com/brands/rayshiso,shu@thesaulab.com,등록정보불일치,3,2024-01-23
63,아뜰리에 자몽,smartstore.naver.com/atelierjamong,atelier_jamong@naver.com,등록정보불일치,2,2024-01-23
64,(주)레몬박스,https://lifevitamin.kr,lemon@lemonbox.kr,등록정보불일치,3,2024-01-23
65,(주)프로더스 ,www.ezio.co.kr,eziooficial@naver.com,사이트운영중단,3,2024-01-23
66,주식회사 아이아이오피셜,http://kye-official.com/,kyefashion.pr@gmail.com,등록정보불일치,2,2024-01-23
67,공감(G*G),loro.co.kr,loro3360@naver.com,등록정보불일치,2,2024-01-23
68,소해락,https://mtmtong.com,mtmtong@naver.com,등록정보불일치,2,2024-01-23
69,킬리만자로타이거,https://kilimanjarotiger.com/,kilimanjarotiger@naver.com,등록정보불일치,2,2024-01-23
70,주식회사 더에이블랩,www.atlife.co.kr,md@theablelab.co.kr,등록정보불일치,3,2024-01-23
71,주식회사에이치인터네셔널(H International),kpm-berlin.co.kr,h_kpmberlin@naver.com,등록정보불일치,3,2024-01-23
72,스카이컴퍼니,www.sandyshapeskorea.com,choipro80@kakao.com,등록정보불일치,3,2024-01-23
73,(주)싱크로드코리아,https://shop.celebpay.co.kr/yoyoury/browse/goods/list,shlee@syncroad.co.kr,등록정보불일치,3,2024-01-23
74,(주)코아코리아,https://shop.11st.co.kr/stores/9467,coakorea@nate.com,등록정보불일치,3,2024-01-23
75,아뜰리에 누니,www.nooneejewelry.com,thenoonee@naver.com,사이트운영중단,0,2024-01-23
76,먼데이스튜디오,https://mondaystudio.modoo.at/,ttinni19@naver.com,등록정보불일치,1,2024-01-23
